Product Name,Rating,Price,Seller Name
"Ambrane 10000mAh Rugged, Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Force 10k, Dark Green)",3.93.9 out of 5 stars,"1,299.",Cocoblu Retail
"URBN 20000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)",3.93.9 out of 5 stars,"1,299.",Cocoblu Retail
"E GATE 117-BW Wirelesss Power Bank 10000mAh Fast Charging |Strong Magnetic Hold| QC+PD Fast Charger - 22.5W Wired & 15W Wireless powerbank for Android, iPhone 12 & Above | Inbuilt Stand |Made in India",3.93.9 out of 5 stars,"1,390.",Cocoblu Retail
"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Classic Black|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)",4.34.3 out of 5 stars,"2,199.",Cocoblu Retail
"Ambrane MagSafe Wireless 10000mAh Fast Charging Power Bank, Strong Magnet, 22.5W Output for iPhone 12 & Above, Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap, Blue)",3.83.8 out of 5 stars,"1,308.",Cocoblu Retail
"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Blue|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)",4.34.3 out of 5 stars,"2,199.",Cocoblu Retail
Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Nano Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black),3.93.9 out of 5 stars,"1,349.",Cocoblu Retail
"Kratos Legend Champ Power Bank 20000mAH, Fast Charging 22.5W, Triple Output (2 USB & 1 Type C), Power Delivery, Quick Charge Power Bank for iPhone, Android & Other Phones, BIS Certified,Made in India",4.24.2 out of 5 stars,"1,299.",Cocoblu Retail
"Kratos Legend Champ Power Bank 20000 mah Fast Charging, 22.5W Quick Charge, Dual USB & Type C Output Power Delivery,LED Indicators, BIS Certified Power Bank for iPhone, Android Smartphones & Tablets",4.24.2 out of 5 stars,999.,Cocoblu Retail
"Kratos Legend Core Power Bank 10000mah, 22.5W Fast Charging Power Bank with Type C & Dual USB Output, Ultra Slim Powerbank, Compatible for iPhone,Samsung, Oppo, Vivo, Redmi (USB C & USB A Input)",4.24.2 out of 5 stars,599.,Cocoblu Retail
URBN Power Bank 20000mAh Fast Charging | 22.5W Super Fast Power Delivery (PD) Portable Charger | Triple Output | USB Type C Input & Output | Pass Through Charging | (Black),4.74.7 out of 5 stars,"1,099.",Cocoblu Retail
"Ambrane MagSafe Wireless 10000mAh Fast Charging Power Bank, Strong Magnet, 22.5W Output for iPhone 12 & Above, Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap, Purple)",3.83.8 out of 5 stars,"1,499.",Cocoblu Retail
"pTron Newly Launched Dynamo Nergy 10000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, Input & Multiple Layers of Protection (Green)",4.04.0 out of 5 stars,899.,Cocoblu Retail
"pTron Dynamo Ultra 20000mAh Power Bank, 22.5W Superfast Charging, Compact Size, Type-C/PD 20W Fast Charging, Supports VOOC/Wrap/Dash/Quick Charge Protocols, 3 Output Ports, Type-C Input/Output (Blue)",4.34.3 out of 5 stars,"1,599.",Cocoblu Retail
"Ambrane 20000mAh Power Bank with 10.5W Fast Charging, Dual USB Output, Made in India, Multi-Layer Protection, Wide Compatibility, Stylish & Compact Design + Free Type-C Cable (Capsule 20, Blue)",3.53.5 out of 5 stars,"1,299.",Cocoblu Retail
URBN 20000 mAh Premium Black Edition Nano Power Bank | 22.5W Super Fast Charging | Pocket Size| Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Black),4.24.2 out of 5 stars,"1,699.",Cocoblu Retail
"Portronics Luxcell MagClick 10k 10000 mAh 15W Magnetic Wireless Fast Charging Power Bank Premium Finish, 22.5 Wired Output Compatible with iPhone 12 & Above,Type C Smartphones,Tablets(Dark Grey)",3.93.9 out of 5 stars,"1,358.",Cocoblu Retail
"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Olive Green|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)",4.34.3 out of 5 stars,"2,199.",Cocoblu Retail
"MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)",4.34.3 out of 5 stars,"1,399.",Cocoblu Retail
"Xiaomi Power Bank 4i 10000mAh 22.5W Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Classic Black|Supports Android and Apple, Tablets, Earbuds, Watches etc",4.24.2 out of 5 stars,"1,299.",Cocoblu Retail
"Ambrane Magsafe Wireless 10000Mah Fast Charging Power Bank,Strong Magnet,22.5W Output for iPhone 12 Back Cover & Above,Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap,Silver)",3.83.8 out of 5 stars,"1,499.",Cocoblu Retail
"Amazon Basics 20000 mAh Power Bank | 22.5W Fast Charging | Dual Output & Input | Charge 3 Devices Simultaneously | for Smartphones, TWS Earbuds, Speakers, Tablets (Dark Blue)",3.63.6 out of 5 stars,999.,Clicktech Retail Private Ltd
"ZEBRONICS MB10000S15 Power Bank, 10000 mAh, Rapid Charge, 22.5W Output, Dual USB Output, PD 3.0 Type C, Built in Protections, Percentage Indicator, Made in India",3.43.4 out of 5 stars,599.,Cocoblu Retail
"Ambrane 20000mAh Powerbank, 22.5W Fast Charging, Triple Output (2 USB & 1 Type C), Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 20, Black)",3.93.9 out of 5 stars,"1,499.",Cocoblu Retail
"boAt Energyshroom PB400 Pro 20000mAh | Pocket Size, Compact Power Bank w/Type-C Input (2-Way Port), 3X Output Ports, Compatible with Tablets, Smartphones, Earbuds, Smartwatch(Steel Blue)",4.04.0 out of 5 stars,"1,998.",Cocoblu Retail
"URBN 20000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)",3.93.9 out of 5 stars,"1,299.",Cocoblu Retail
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Black)",3.93.9 out of 5 stars,808.,Cocoblu Retail
"Portronics Luxcell B 20K Advanced 20000 mAh Power Bank with 22.5W Max Output, LED Battery Display, 22.5w Mach USB-A Output, 20w Type C PD Output, Type C Input, Wake Up Button(Black)",3.93.9 out of 5 stars,"1,218.",Cocoblu Retail
"Lifelong ZenCharge 20000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Blue, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds, Speaker, Tablet)",4.04.0 out of 5 stars,"1,658.",Cocoblu Retail
"Duracell 20000 MAH Slimmest Power Bank with 1 Type C PD and 2 USB A Port, 22.5W Fast Charging Portable Charger to Charges 3 Devices Simultaneously for iPhones, Android Phones, Smart Watches & More",4.24.2 out of 5 stars,"2,999.",Cocoblu Retail
"Duracell Power Bank 10000 mAh, Portable Charger, USB C/Micro USB Input, USB A/USB C Output, Fast Charge Technology, 22.5W Power Delivery for Smartphones, Tablets, Headphones and USB-Powered Devices",4.04.0 out of 5 stars,"1,999.",Cocoblu Retail
Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Nano Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black),3.93.9 out of 5 stars,"1,349.",Cocoblu Retail
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Black)",3.93.9 out of 5 stars,808.,Cocoblu Retail
